obs,total_shares,share_std,share_mean,num_participants,total_percent,percent_std,percent_mean,total_share_change,num_significant_changes,top_participant_shares,top_participant_percent,top3_percent
457,3389003646,73431136.99509653,8645417.464285715,392,31.3,0.6943826322276888,0.0798469387755102,18500.0,6,2423401334,22.9,19.15
458,3388967646,73479854.36878866,8645325.627551021,392,31.31,0.6948964367860335,0.07987244897959184,-30994.0,3,2424908457,22.919999999999998,19.169999999999998
459,3388969146,73576108.69532849,8667440.271099744,391,31.3,0.6954139128586585,0.08005115089514067,22000.0,3,2425829507,22.92,19.16
460,3389014146,73751753.3062769,8667555.36061381,391,31.31,0.6974184957402104,0.080076726342711,45000.0,7,2426862410,22.94,19.21
461,3389063646,73923480.16748482,8667681.959079284,391,31.3,0.6988008024318811,0.08005115089514067,49500.0,4,2427165365,22.93,19.22
462,3388982146,73863117.91355292,8667473.519181585,391,31.33,0.6984750672020573,0.08012787723785166,-81500.0,5,2426097029,22.93,19.22
463,3388994646,73743112.21551171,8667505.488491049,391,31.34,0.6973763851362768,0.080153452685422,12500.0,3,2425671801,22.93,19.21
464,3388948146,73766914.41737604,8667386.562659847,391,31.31,0.697438348894173,0.080076726342711,-46500.0,4,2426512005,22.93,19.22
465,3388883646,73653206.8552316,8645111.341836736,392,31.330000000000002,0.6965073585554916,0.0799234693877551,-85000.0,7,2425977017,22.93,19.21
466,3388644646,73627068.31551138,8622505.460559797,393,31.29,0.6962502386107597,0.07961832061068702,-239500.0,11,2424963219,22.92,19.22
467,3388541896,73749957.04741359,8644239.530612245,392,31.28,0.6969916790747286,0.07979591836734694,-7250.0,8,2425230797,22.91,19.21
468,3388401396,73968512.81580406,8688208.707692308,390,31.3,0.6991080883345158,0.08025641025641025,-9000.0,1,2424868157,22.91,19.21
469,3388414896,73865394.97188298,8666022.75191816,391,31.31,0.6982859925784759,0.080076726342711,2000.0,8,2424525200,22.91,19.22
470,3388389896,73968742.83985862,8688179.22051282,390,31.31,0.6994060443291228,0.08028205128205128,-13000.0,8,2423907245,22.9,19.22
